COREF	start_token	end_token	prop	cat	text	book	page
-1	1	1	PRON	PER	you	mdp.39015053751635	078
0	8	8	PRON	PER	my	mdp.39015053751635	078
0	14	14	PRON	PER	I	mdp.39015053751635	078
-1	18	18	PRON	PER	you	mdp.39015053751635	078
1	21	22	PROP	PER	Skunny Wundy	mdp.39015053751635	078
-1	31	31	PRON	PER	he	mdp.39015053751635	078
-1	40	40	PRON	PER	him	mdp.39015053751635	078
-1	14	14	PRON	PER	we	wu.89060396363	081
1	20	20	PROP	PER	Doucet	wu.89060396363	081
-1	32	32	PRON	PER	we	wu.89060396363	081
-1	35	36	NOM	FAC	the station	wu.89060396363	081
0	42	42	PRON	PER	my	wu.89060396363	081
-1	44	44	NOM	FAC	home	wu.89060396363	081
0	47	47	PRON	PER	I	wu.89060396363	081
-1	52	53	NOM	PER	an Indian	wu.89060396363	081
2	55	55	PROP	PER	Archie	wu.89060396363	081
-1	58	58	PRON	PER	himself	wu.89060396363	081
0	61	61	PRON	PER	My	wu.89060396363	081
3	64	64	PROP	PER	Nuna	wu.89060396363	081
0	66	66	PRON	PER	My	wu.89060396363	081
-1	66	67	NOM	PER	My people	wu.89060396363	081
4	70	71	PROP	PER	Lac Simon	wu.89060396363	081
1	5	5	PROP	GPE	Mohawk	uva.x000083545	135
-1	7	8	NOM	FAC	the camp	uva.x000083545	135
-1	11	11	PRON	PER	our	uva.x000083545	135
-1	15	16	NOM	FAC	the track	uva.x000083545	135
-1	33	33	PRON	PER	we	uva.x000083545	135
2	37	37	PROP	GPE	Rillito	uva.x000083545	135
0	43	43	PRON	PER	I	uva.x000083545	135
-1	45	45	NOM	FAC	home	uva.x000083545	135
0	48	48	PRON	PER	I	uva.x000083545	135
-1	50	50	NOM	FAC	home	uva.x000083545	135
7	52	52	PROP	PER	Fernando	uva.x000083545	135
0	56	56	PRON	PER	me	uva.x000083545	135
-1	60	60	NOM	PER	mother	uva.x000083545	135
-1	65	65	PRON	PER	he	uva.x000083545	135
0	67	67	PRON	PER	me	uva.x000083545	135
-1	78	78	PRON	PER	his	uva.x000083545	135
-1	78	79	NOM	FAC	his place	uva.x000083545	135
8	81	82	PROP	PER	Robert Bosworth	uva.x000083545	135
-1	84	85	NOM	PER	the foreman	uva.x000083545	135
9	87	87	PROP	PER	Bob	uva.x000083545	135
-1	89	97	NOM	PER	extra gang number seven foreman in the Shasta division	uva.x000083545	135
-1	95	97	NOM	FAC	the Shasta division	uva.x000083545	135
3	96	96	PROP	GPE	Shasta	uva.x000083545	135
-1	100	111	NOM	PER	all the men who were with him there were here with him	uva.x000083545	135
-1	106	106	PRON	PER	him	uva.x000083545	135
-1	111	111	PRON	PER	him	uva.x000083545	135
9	113	113	PROP	PER	Bob	uva.x000083545	135
10	120	120	PROP	PER	Cataleno	uva.x000083545	135
-1	122	125	NOM	PER	section foreman in Jaynes	uva.x000083545	135
4	125	125	PROP	GPE	Jaynes	uva.x000083545	135
11	127	128	PROP	PER	Juan Alvarez	uva.x000083545	135
-1	131	131	NOM	FAC	there	uva.x000083545	135
-1	134	136	NOM	PER	the two Pascolas	uva.x000083545	135
12	139	139	PROP	PER	Cruz	uva.x000083545	135
13	141	141	PROP	PER	Romero	uva.x000083545	135
0	166	166	PRON	PER	I	uva.x000083545	135
0	185	185	PRON	PER	I	uva.x000083545	135
-1	192	193	NOM	PER	SP workers	uva.x000083545	135
-1	195	195	PRON	PER	They	uva.x000083545	135
0	197	197	PRON	PER	me	uva.x000083545	135
-1	199	202	NOM	FAC	the Globe yard section	uva.x000083545	135
-1	204	206	NOM	PER	an Italian foreman	uva.x000083545	135
14	208	209	PROP	PER	Geraldo Iloa	uva.x000083545	135
-1	212	212	PRON	PER	we	uva.x000083545	135
15	214	214	PROP	PER	Jerry	uva.x000083545	135
0	216	216	PRON	PER	I	uva.x000083545	135
5	219	219	PROP	GPE	Bowie	uva.x000083545	135
-1	225	227	NOM	FAC	the Globe branch	uva.x000083545	135
5	232	232	PROP	PER	Bowie	uva.x000083545	135
6	234	234	PROP	GPE	Globe	uva.x000083545	135
0	236	236	PRON	PER	I	uva.x000083545	135
0	242	242	PRON	PER	I	uva.x000083545	135
0	247	247	PRON	PER	I	uva.x000083545	135
-1	254	255	NOM	PER	The foreman	uva.x000083545	135
0	257	257	PRON	PER	me	uva.x000083545	135
-1	264	266	NOM	FAC	a Chinese restaurant	uva.x000083545	135
0	272	272	PRON	PER	I	uva.x000083545	135
-1	0	0	NOM	PER	Reinforcements	mdp.39015046352020	079
-1	18	21	NOM	PER	the Friendlies of Shungopovi	mdp.39015046352020	079
0	21	21	PROP	GPE	Shungopovi	mdp.39015046352020	079
-1	27	27	PRON	PER	their	mdp.39015046352020	079
-1	30	30	PRON	PER	they	mdp.39015046352020	079
-1	32	42	NOM	PER	several of the most difficult Hostile families out of the village	mdp.39015046352020	079
-1	34	42	NOM	PER	the most difficult Hostile families out of the village	mdp.39015046352020	079
-1	41	42	NOM	GPE	the village	mdp.39015046352020	079
-1	44	45	NOM	PER	The exiles	mdp.39015046352020	079
1	49	49	PROP	GPE	Oraibi	mdp.39015046352020	079
-1	51	51	PRON	PER	they	mdp.39015046352020	079
2	58	60	PROP	PER	the Oraibi Hostiles	mdp.39015046352020	079
0	3	3	PRON	PER	my	mdp.39015043788846	046
-1	3	4	NOM	PER	my family	mdp.39015043788846	046
0	8	8	PRON	PER	my	mdp.39015043788846	046
0	11	11	PRON	PER	I	mdp.39015043788846	046
-1	14	14	NOM	FAC	home	mdp.39015043788846	046
0	17	17	PRON	PER	I	mdp.39015043788846	046
1	23	23	PROP	PER	Mom	mdp.39015043788846	046
0	26	26	PRON	PER	me	mdp.39015043788846	046
-1	30	30	PRON	PER	hers	mdp.39015043788846	046
0	32	32	PRON	PER	I	mdp.39015043788846	046
0	35	35	PRON	PER	my	mdp.39015043788846	046
-1	39	39	PRON	PER	He	mdp.39015043788846	046
2	42	43	PROP	PER	Mrs. Harry	mdp.39015043788846	046
-1	47	49	NOM	PER	the head matron	mdp.39015043788846	046
-1	53	53	PRON	PER	she	mdp.39015043788846	046
-1	55	55	PRON	PER	us	mdp.39015043788846	046
-1	58	58	PRON	PER	us	mdp.39015043788846	046
-1	63	63	PRON	PER	us	mdp.39015043788846	046
-1	66	66	NOM	FAC	campus	mdp.39015043788846	046
-1	67	67	PRON	PER	she	mdp.39015043788846	046
-1	73	75	NOM	PER	a mean woman	mdp.39015043788846	046
-1	78	78	PRON	PER	she	mdp.39015043788846	046
-1	80	81	NOM	PER	an Indian	mdp.39015043788846	046
-1	83	85	NOM	PER	a Heinz 57	mdp.39015043788846	046
-1	87	94	NOM	PER	an Indian who 's from several different tribes	mdp.39015043788846	046
-1	92	94	NOM	GPE	several different tribes	mdp.39015043788846	046
-1	102	102	PRON	PER	She	mdp.39015043788846	046
-1	108	108	PRON	PER	me	mdp.39015043788846	046
-1	111	111	PRON	PER	I	mdp.39015043788846	046
0	120	120	PRON	PER	I	mdp.39015043788846	046
0	123	123	PRON	PER	I	mdp.39015043788846	046
2	126	127	PROP	PER	Mrs. Harry	mdp.39015043788846	046
-1	129	139	NOM	PER	the woman who on my first day at the Indian School	mdp.39015043788846	046
0	133	133	PRON	PER	my	mdp.39015043788846	046
-1	137	139	NOM	FAC	the Indian School	mdp.39015043788846	046
-1	141	141	NOM	PER	everyone	mdp.39015043788846	046
-1	145	147	NOM	FAC	the rear exit	mdp.39015043788846	046
-1	151	151	PRON	PER	their	mdp.39015043788846	046
-1	151	152	NOM	FAC	their beds	mdp.39015043788846	046
-1	154	154	PRON	PER	they	mdp.39015043788846	046
-1	156	156	PRON	PER	her	mdp.39015043788846	046
-1	156	157	NOM	VEH	her car	mdp.39015043788846	046
-1	170	174	NOM	PER	the girls in my dorm	mdp.39015043788846	046
0	173	173	PRON	PER	my	mdp.39015043788846	046
-1	173	174	NOM	FAC	my dorm	mdp.39015043788846	046
-1	176	176	PRON	PER	They	mdp.39015043788846	046
-1	179	179	PRON	PER	her	mdp.39015043788846	046
-1	182	182	PRON	PER	she	mdp.39015043788846	046
-1	185	185	PRON	PER	you	mdp.39015043788846	046
-1	201	201	PRON	PER	she	mdp.39015043788846	046
0	203	203	PRON	PER	my	mdp.39015043788846	046
3	207	208	PROP	PER	Mrs. Chavez	mdp.39015043788846	046
-1	210	211	NOM	PER	the girl	mdp.39015043788846	046
-1	210	214	NOM	PER	the girl 's dorm attendant	mdp.39015043788846	046
-1	217	217	PRON	PER	us	mdp.39015043788846	046
4	219	219	PROP	PER	Edgar	mdp.39015043788846	046
-1	223	223	PRON	PER	she	mdp.39015043788846	046
-1	225	225	PRON	PER	her	mdp.39015043788846	046
-1	229	229	PRON	PER	us	mdp.39015043788846	046
-1	234	234	PRON	PER	our	mdp.39015043788846	046
-1	234	235	NOM	FAC	our dorm	mdp.39015043788846	046
2	238	239	PROP	PER	Mrs. Harry	mdp.39015043788846	046
-1	243	243	PRON	PER	you	mdp.39015043788846	046
5	245	245	PROP	PER	Vida	mdp.39015043788846	046
-1	247	247	PRON	PER	she	mdp.39015043788846	046
0	252	252	PRON	PER	me	mdp.39015043788846	046
0	263	263	PRON	PER	I	mdp.39015043788846	046
-1	0	0	PRON	PER	She	uva.x000083545	132
0	2	2	PRON	PER	me	uva.x000083545	132
-1	7	7	PRON	PER	I	uva.x000083545	132
-1	10	10	PRON	PER	you	uva.x000083545	132
-1	12	12	PRON	PER	my	uva.x000083545	132
-1	20	20	PRON	PER	she	uva.x000083545	132
-1	22	22	PRON	PER	her	uva.x000083545	132
-1	22	23	NOM	PER	her family	uva.x000083545	132
-1	26	29	NOM	FAC	a ranch near Chandler	uva.x000083545	132
1	29	29	PROP	GPE	Chandler	uva.x000083545	132
0	31	31	PRON	PER	My	uva.x000083545	132
-1	31	38	NOM	PER	My sister Eloisa , who lived with them	uva.x000083545	132
8	33	33	PROP	PER	Eloisa	uva.x000083545	132
-1	38	38	PRON	PER	them	uva.x000083545	132
0	45	45	PRON	PER	my	uva.x000083545	132
-1	45	46	NOM	FAC	my home	uva.x000083545	132
-1	48	48	PRON	PER	she	uva.x000083545	132
-1	52	52	PRON	PER	she	uva.x000083545	132
2	55	58	PROP	LOC	the Salt River Valley	uva.x000083545	132
-1	66	66	PRON	PER	we	uva.x000083545	132
0	69	69	PRON	PER	my	uva.x000083545	132
-1	69	70	NOM	FAC	my home	uva.x000083545	132
0	76	76	PRON	PER	my	uva.x000083545	132
0	79	79	PRON	PER	I	uva.x000083545	132
0	81	81	PRON	PER	my	uva.x000083545	132
-1	93	94	NOM	VEH	the car	uva.x000083545	132
9	96	96	PROP	PER	Fernando	uva.x000083545	132
-1	99	99	NOM	FAC	home	uva.x000083545	132
-1	101	101	PRON	PER	he	uva.x000083545	132
3	105	105	PROP	GPE	Eloy	uva.x000083545	132
4	107	109	PROP	FAC	the Milligan Ranch	uva.x000083545	132
0	111	111	PRON	PER	I	uva.x000083545	132
0	117	117	PRON	PER	my	uva.x000083545	132
-1	117	118	NOM	PER	my sister	uva.x000083545	132
9	125	125	PROP	PER	Fernando	uva.x000083545	132
-1	125	127	NOM	PER	Fernando 's wife	uva.x000083545	132
0	133	133	PRON	PER	I	uva.x000083545	132
-1	136	136	PRON	PER	her	uva.x000083545	132
5	145	145	PROP	FAC	Hill	uva.x000083545	132
-1	145	149	NOM	FAC	Hill 's ranch near Chandler	uva.x000083545	132
1	149	149	PROP	GPE	Chandler	uva.x000083545	132
0	166	166	PRON	PER	my	uva.x000083545	132
-1	166	167	NOM	PER	my niece	uva.x000083545	132
10	168	168	PROP	PER	Angelita	uva.x000083545	132
