htid,access,rights,ht_bib_key,description,source,source_bib_num,oclc_num,isbn,issn,lccn,title,imprint,rights_reason_code,rights_timestamp,us_gov_doc_flag,rights_date_used,pub_place,lang,bib_fmt,collection_code,content_provider_code,responsible_entity_code,digitization_agent_code,access_profile_code,author
uva.x000083545,deny,ic,21076,,UVA,u236416,5310087,"8,165,062,800,816,500,000",,79019817,The autobiography of a Yaqui poet / by Refugio Savala ; edited by Kathleen M. Sands.,"University of Arizona Press, [1980]",bib,5/23/17 3:25,0,1980,azu,eng,BK,UVA,virginia,virginia,google,google,"Savala, Refugio."
mdp.39015046352020,deny,ic,558484,,MIU,990005584840106000.00,2297,,,68054714,"Me and mine; the life story of Helen Sekaquaptewa, as told to Louise Udall. Illustrated by Phillip Sekaquaptewa.",University of Arizona Press [1969],bib,6/30/12 19:30,0,1969,azu,eng,BK,MIU,umich,umich,google,google,"Sekaquaptewa, Helen, 1898-"
mdp.39015040730916,deny,ic,3137852,,MIU,990031378520106000.00,35305194,"18,852,662,861,885,200,000",,96042457,Infidelities / Elise Paschen.,"Story Line Press, 1996.",bib,3/18/12 19:30,0,1996,oru,eng,BK,MIU,umich,umich,google,google,"Paschen, Elise."
mdp.39015041788319,deny,ic,3313775,,MIU,990033137750106000.00,35110644,,,,"The lasting of the Mohegans : Part I, the story of the wolf people / Melissa Jayne Fawcett.","The Mohegan Tribe, [1995]",bib,6/30/12 19:30,0,1995,ctu,eng,BK,MIU,umich,umich,google,google,"Zobel, Melissa Tantaquidgeon, 1960-"
mdp.39015043788846,deny,ic,4024046,,MIU,990040240460106000.00,41425322,0931122937 :,,,No parole today / Laura Tohe.,"West End Press : [Distributed by University of New Mexico Press], 1999.",bib,6/18/12 19:30,0,1999,nmu,eng,BK,MIU,umich,umich,google,google,"Tohe, Laura."
mdp.39015053751635,deny,ic,4205366,,MIU,990042053660106000.00,45743309,1584300272,,2001016435,Bowman's store : a journey to myself / Joseph Bruchac.,"Lee & Low Books, 2001.",bib,7/22/12 19:30,0,2001,nyu,eng,BK,MIU,umich,umich,google,google,"Bruchac, Joseph, 1942-"
uc1.32106006887498,deny,ic,4455214,,UC,b10173481,10753801,0816508836 (pbk.) :,,84008458,A good journey / Simon J. Ortiz.,"Sun Tracks : University of Arizona Press, [1984], c1977.",bib,12/6/09 22:30,0,1984,azu,eng,BK,UCSC,universityofcalifornia,universityofcalifornia,google,google,"Ortiz, Simon J., 1941-"
pst.000032468786,deny,ic,4540893,,PST,a1861258,34633409,803714386,,96018339 //AC,The flight of Red Bird :  the life of Zitkala-S̈a / re-created from the writings of Zitkala-S̈a and the research of Doreen Rappaport.,"Dial Books, c1997.",bib,11/7/14 3:31,0,1997,xxu,eng,BK,PST,psu,psu,google,google,"Rappaport, Doreen."
uc1.b4102033,deny,ic,6154882,,UC,GLAD16826253-B,"139,496,214,624,906",,,73115899,Skunny Wundy; Seneca Indian tales. Illustrated by George Armstrong,"A. Whitman [1970, c1926]",bib,10/29/10 20:31,0,1970,ilu,eng,BK,NRLF,universityofcalifornia,universityofcalifornia,google,google,"Parker, Arthur Caswell, 1881-1955."
uc1.32106008463017,deny,ic,7106930,,UC,b11176593,12322617,,,,Seek the house of relatives / by Elizabeth Cook-Lynn.,"Blue Cloud Quarterly Press, 1983.",bib,9/18/10 19:30,0,1983,sdu,eng,BK,UCSC,universityofcalifornia,universityofcalifornia,google,google,"Cook-Lynn, Elizabeth."
uc1.32106011563233,deny,ic,7131326,,UC,b18695449,28033118,0962515310 (pbk.),,,A quick brush of wings / by Mary TallMountain,"Freedom Voices Publications, c1991",bib,9/15/10 19:30,0,1991,cau,eng,BK,UCSC,universityofcalifornia,universityofcalifornia,google,google,"TallMountain, Mary"
wu.89060396363,deny,ic,7561148,,WU,127217.00,1162943,887701264,,84164142,Devil in deerskins : my life with Grey Owl / Anahareo.,"New Press, 1972.",bib,4/25/10 20:31,0,1972,onc,eng,BK,WU,wisc,wisc,google,google,"Anahareo, 1906-1986"
inu.39000000903711,deny,ic,8566718,,INU,1562620.00,12130828,0940392135 (pbk.),,,"The rattlesnake band, and other poems / by Robert J. Conley ; Cherokee translations by Durbin Feeling ; drawings by the author ; additional translations by Adalene Proctor Smith.","Indian University Press, c1984.",bib,10/3/14 3:26,0,1984,oku,eng,BK,INU,iu,iu,google,google,"Conley, Robert J."
mdp.39076001498182,deny,ic,9922807,,MIU,990099228070106000.00,29844146,60976128,,94003999,Bloodlines : odyssey of a native daughter / Janet Campbell Hale.,"HarperPerennial, 1994, c1993.",bib,8/12/11 19:30,0,1994,nyu,eng,BK,UMDB,umich,umich,google,google,"Hale, Janet Campbell."
